,zh_CN,en,ja,zh_HK
夜晚探索范围减少1格，敌人获得增益状态，同时获取的魂值提高,夜晚探索范围减少1格，敌人获得增益状态，同时获取的魂值提高,The exploration range decreases by 1 tile at night; enemies are buffed and you gain more Essence upon defeating them,夜での探索範囲は1減少し、敵はBUFF状態になり、獲得するソウル値が高くなります,夜晚探索範圍減少1格，敵人獲得增益狀態，同時獲取的魂值提高
,,,,
收集到3个恶魔之魂，召唤出苍白剑士,收集到3个恶魔之魂，召唤出苍白剑士,Collect 3 Souls of Demon to summon Pale Swordsman,悪魔の魂を3つ集め、蒼白の剣士を召喚,收集到3個惡魔之魂，召喚出蒼白劍士
,,,,
奇遇,奇遇,Special Encounter,奇遇,奇遇
点击图标遭遇奇遇,点击图标遭遇奇遇,Click the icon to trigger the Special Encounter,アイコンをクリックし奇遇に遭遇,點擊圖標遭遇奇遇
出现了新的奇遇，点击屏幕上方的问号图标触发,出现了新的奇遇，点击屏幕上方的问号图标触发,A new Special Encounter appears. Click on the question mark above to trigger it.,新たな奇遇が現れました。画面の上にある「？」マークをクリックすると奇遇に遭遇します,出現了新的奇遇，點擊屏幕上方的問號圖標觸發
,,,,
神的启示,神的启示,Apocalypse,神のお告げ,神的啟示
"神给了你预言,现在超过20级的瘴气，不会让你失败，但是会带来一场浩劫！","神给了你预言,现在超过20级的瘴气，不会让你失败，但是会带来一场浩劫！",The immortal reveals the truth about your future. Miasma above Lv. 20 will no longer cause your defeat but it is definitely devastating.,神よりお告げを授かりました、現在瘴気レベルが20を超えてもゲームオーバーになりませんが、災いが訪れるでしょう,"神給了你預言,現在超過20級的瘴氣，不會讓你失敗，但是會帶來一場浩劫！"
"最后的审判来临，瘴气弥漫大地，魔王觉醒！大地图上的所有的常规战斗事件提升1级,包括魔王","最后的审判来临，瘴气弥漫大地，魔王觉醒！大地图上的所有的常规战斗事件提升1级,包括魔王","The final judgment befalls. The continent is engulfed in miasma, and the Demon Lord has awakened! All common battle events on the world map have been elevated by 1 level—including the Demon Lord!",最後の審判が降臨し、瘴気が大地を満たす。魔王覚醒の時なり！魔王を含み、マップ上全ての通常戦闘イベントはレベルが1上がります,"最後的審判來臨，瘴氣彌漫大地，魔王覺醒！大地圖上的所有的常規戰鬥事件提升1級,包括魔王"
,,,,
引导任务,引导任务,Instruction Mission,チュートリアルミッション,引導任務
获得一个[color=#e883f6]史诗[/color]及以上装备,获得一个[color=#e883f6]史诗[/color]及以上装备,Obtain 1 piece of [color=#e883f6]Epic[/color] or higher-quality equipment,[color=#e883f6]エピック[/color]以上の装備を1つ獲得,獲得一個[color=#e883f6]史詩[/color]及以上裝備
升级或者雇佣一个3级及以上单位,升级或者雇佣一个3级及以上单位,Upgrade or recruit 1 unit of Lv. 3 or above,レベル3以上のユニットを1つレベルアップ若しくは雇用する,升級或者雇傭一個3級及以上單位
完成,完成,Complete,COMPLETE!,完成
完成引导任务！快去向导那领取奖励,完成引导任务！快去向导那领取奖励,You have completed the Instruction Mission! Go claim rewards from the guide.,チュートリアルミッション完了！ボーナスを受け取ってください！,完成引導任務！快去向導那領取獎勵
,,,,
消灭可减少瘴气，获得神徽,消灭可减少瘴气，获得神徽,Defeat them to reduce Miasma and acquire Emblems.,討伐することで瘴気を減少し、シンボルを獲得できます,消滅可減少瘴氣，獲得神徽
地牢佣兵,地牢佣兵,Dungeon Mercenaries,地下牢の傭兵,地牢傭兵
这是些在阴暗地牢里的狠角，可以雇佣他们。,这是些在阴暗地牢里的狠角，可以雇佣他们。,"These are fierce characters lurking in the dark dungeons, available for hire.",地下牢に存在する曲者たち、雇用することができる,這是些在陰暗地牢裏的狠角，可以雇傭他們。
,,,,
在城镇或者其他渠道雇佣一个单位。,在城镇或者其他渠道雇佣一个单位。,Recruit a unit within the city or through alternative methods.,街もしくは他のルートでユニットを1体雇用する,在城鎮或者其他渠道雇傭一個單位。
获得足够的魂，升级一个单位。,获得足够的魂，升级一个单位。,Gather sufficient Essence to upgrade a unit.,十分なソウルを獲得し、ユニット1体のレベルを上げる,獲得足夠的魂，升級一個單位。
发现并进入一个地牢。,发现并进入一个地牢。,Unearth and venture into a dungeon.,地下牢を発見して入る,發現並進入一個地牢。
找到并击败3名魔王仆从。,找到并击败3名魔王仆从。,Locate and conquer 3 Demon Servants.,魔王の僕を3体見つけて倒す,找到並擊敗3名魔王仆從。
,,,,
完成引导任务！点击引导任务的图标领取奖励,完成引导任务！点击引导任务的图标领取奖励,Instruction Mission completed! Click on the icon to claim your rewards.,チュートリアルミッション完了！ミッションのアイコンをクリックして報酬を受け取ってください,完成引導任務！點擊引導任務的圖標領取獎勵
请合理的规划路线，在地图中移动和战斗都会使时间流逝，海拔越高怪物越强。,请合理的规划路线，在地图中移动和战斗都会使时间流逝，海拔越高怪物越强。,"Strategize your journey carefully and please keep in mind that every move and battle on the map consumes time. Please note that the higher your altitude, the fiercer the monsters become.",マップでの移動や戦闘は時間が経つし、場所が高いほどモンスターは強くなるため、進むルートを合理的に計画してください。,請合理的規劃路線，在地圖中移動和戰鬥都會使時間流逝，海拔越高怪物越強。
每过1天，瘴气会提高1级。,每过1天，瘴气会提高1级。,"With each passing day, Miasma escalates by 1 level. ",1日を過ぎるごとに瘴気が1レベル上がり。,每過1天，瘴氣會提高1級。
接下来请完成如下任务：,接下来请完成如下任务：,Please complete the subsequent missions:,これからは以下のミッションを完了してください：,接下來請完成如下任務：
完成任务！获得奖励。,完成任务！获得奖励。,Mission accomplished! Claim your rewards.,ミッション完了！ボーナスを獲得。,完成任務！獲得獎勵。
点击城镇以其他有小箭头的设施可以直接传送，接下来请完成：,点击城镇以其他有小箭头的设施可以直接传送，接下来请完成：,Click on the city and facilities marked with small arrows for direct teleportation. Please finish the following steps:,街及び他の矢印が付けられた施設をクリックすると転移できる、これからは以下の目標を完了してください：,點擊城鎮以其他有小箭頭的設施可以直接傳送，接下來請完成：
你已经踏上了成王之路，最后请完成任务：,你已经踏上了成王之路，最后请完成任务：,You have embarked on the journey to kingship. Please complete this final mission:,あなたは王への道を歩み始めた、最後にこのミッションを完了してください：,你已經踏上了成王之路，最後請完成任務：
你已经完成了所有引导任务，也凝聚一支强力的队伍，证明了你成为王的资格。,你已经完成了所有引导任务，也凝聚一支强力的队伍，证明了你成为王的资格。,"You've accomplished all the Instruction Missions, forged a formidable team, and proved your worthiness to ascend as a ruler.",あなたはすべてのチュートリアルミッションを完了し、強力なパーティーも集めました。あなたに王になる資格があることを十分に証明しました。,你已經完成了所有引導任務，也凝聚一支強力的隊伍，證明了你成為王的資格。
这是授予给你的。,这是授予给你的。,This is an accolade bestowed upon you.,これはあなたに授けるものです。,這是授予給你的。
